"User Type","Product","Price","Youclean price","","","","","","","","","","","","","","","","","","","","","",""
"Women","Kameez / Kurta","119","129","","","","","","","","","","","","","","","","","","","","","",""
"Women","Pyjama / Pants / Salwar / Churidar / Palazo Pants","99","99","","","","","","","","","","","","","","","","","","","","","",""
"Women","Lehenga / Flared Skirt","359","279","","","","","","","","","","","","","","","","","","","","","",""
"Women","Saree ( Cotton / Synthetic / Light )","199","249","","","","","","","","","","","","","","","","","","","","","",""
"Women","Stocking ( Pair ) - Regular","49","49","","","","","","","","","","","","","","","","","","","","","",""
"Women","Stole / Scarf","89","79","","","","","","","","","","","","","","","","","","","","","",""
"Women","Dress ( Heavy )","449","429","","","","","","","","","","","","","","","","","","","","","",""
"Women","Saree ( Silk / Chiffon / Georgette / Heavy )","299","279","","","","","","","","","","","","","","","","","","","","","",""
"Women","Jacket Puffer Long","399","249","","","","","","","","","","","","","","","","","","","","","",""
"Women","Jacket - Faux fur Long","399","249","","","","","","","","","","","","","","","","","","","","","",""
"Women","Skirt Long","155","179","","","","","","","","","","","","","","","","","","","","","",""
"Women","Top","78","129","","","","","","","","","","","","","","","","","","","","","",""
"Women","Shorts / Capri","59","79","","","","","","","","","","","","","","","","","","","","","",""
"Women","Skirt - Pencil / Pleated / Other","119","129","","","","","","","","","","","","","","","","","","","","","",""
"Women","Salwar Kurta Normal Work - 3pcs","239","299","","","","","","","","","","","","","","","","","","","","","",""
"Women","Dupatta Heavy Work","149","129","","","","","","","","","","","","","","","","","","","","","",""
"Women","Plazzo / Sharara Heavy Work","119","129","","","","","","","","","","","","","","","","","","","","","",""
"Women","Saree Plain","179","199","","","","","","","","","","","","","","","","","","","","","",""
"Women","Blouse Normal","99","79","","","","","","","","","","","","","","","","","","","","","",""
"Women","Blouse Heavy Work","129","129","","","","","","","","","","","","","","","","","","","","","",""
"Women","Lehenga Normal Work","359","329","","","","","","","","","","","","","","","","","","","","","",""
"Women","Lehenga Medium Work","419","349","","","","","","","","","","","","","","","","","","","","","",""
"Women","Lehenga Heavy Work","479","479","","","","","","","","","","","","","","","","","","","","","",""
"Women","Peticoat Cotton","83","59","","","","","","","","","","","","","","","","","","","","","",""
"Women","Peticoat Woolen","119","79","","","","","","","","","","","","","","","","","","","","","",""
"Women","Women Night Robe Satin","159","149","","","","","","","","","","","","","","","","","","","","","",""
"Women","Thermals Set","169","179","","","","","","","","","","","","","","","","","","","","","",""
"Women","Swim suit solid body suit","179","179","","","","","","","","","","","","","","","","","","","","","",""
"Women","Muffler Pashmina","219","199","","","","","","","","","","","","","","","","","","","","","",""
"Women","Shawl Woolen","299","249","","","","","","","","","","","","","","","","","","","","","",""
"Women","Gloves Leather","119","129","","","","","","","","","","","","","","","","","","","","","",""
"Women","Caps Woolen","129","129","","","","","","","","","","","","","","","","","","","","","",""
"Women","Dress / Frock / Jumpsuit Short","149","149","","","","","","","","","","","","","","","","","","","","","",""
"Women","Dress / Frock / Jumpsuit Long","189","179","","","","","","","","","","","","","","","","","","","","","",""
"Women","Dungaree Long","239","249","","","","","","","","","","","","","","","","","","","","","",""
"Women","Formal Gown Short Heavy Work","299","279","","","","","","","","","","","","","","","","","","","","","",""
"Women","Formal Gown Long Normal","239","229","","","","","","","","","","","","","","","","","","","","","",""
"Women","Coat - Long","229","229","","","","","","","","","","","","","","","","","","","","","",""
"Women","Chadar","199","179","","","","","","","","","","","","","","","","","","","","","",""
"Women","Ladies Suit 2pcs","299","299","","","","","","","","","","","","","","","","","","","","","",""
"Women","Ladies Suit 3pcs","399","399","","","","","","","","","","","","","","","","","","","","","",""
"Women","Choli","299","299","","","","","","","","","","","","","","","","","","","","","",""
"Women","Lehenga / Ghagra","399","379","","","","","","","","","","","","","","","","","","","","","",""
"Women","Designer Lehanga / ghagra","399","399","","","","","","","","","","","","","","","","","","","","","",""
"Women","Designer Choli + Lehanga + Duppatta","1499","1299","","","","","","","","","","","","","","","","","","","","","",""
"Women","Ghagra 3pc( n )","699","699","","","","","","","","","","","","","","","","","","","","","",""
"Women","Ghagra Heavy 3pcs( d )","899","849","","","","","","","","","","","","","","","","","","","","","",""
"Women","Kameez / Kurti Cotton","139","129","","","","","","","","","","","","","","","","","","","","","",""
"Women","Designer Kurta","299","279","","","","","","","","","","","","","","","","","","","","","",""
"Women","Salwar / Churidar 3pcs","299","329","","","","","","","","","","","","","","","","","","","","","",""
"Women","Palazo Pant","139","99","","","","","","","","","","","","","","","","","","","","","",""
"Women","Boot","399","349","","","","","","","","","","","","","","","","","","","","","",""
"Household","Shrug / Waist Coat","119","129","","","","","","","","","","","","","","","","","","","","","",""
"Household","Parka Coat Short","279","279","","","","","","","","","","","","","","","","","","","","","",""
"Household","Sweatshirt / Jumper","119","179","","","","","","","","","","","","","","","","","","","","","",""
"Household","Wind Cheater / Rain Coat","109","179","","","","","","","","","","","","","","","","","","","","","",""
"Household","Jacket Rexine","239","199","","","","","","","","","","","","","","","","","","","","","",""
"Household","Jacket Leather","799","599","","","","","","","","","","","","","","","","","","","","","",""
"Household","Jacket Normal Short","199","199","","","","","","","","","","","","","","","","","","","","","",""
"Household","Jacket Puffer Short","299","249","","","","","","","","","","","","","","","","","","","","","",""
"Household","Jacket - Faux fur Short","299","279","","","","","","","","","","","","","","","","","","","","","",""
"Household","Western Formal Suit - 2 pcs ( Shirt, Coat, Pant )","249","214","","","","","","","","","","","","","","","","","","","","","",""
"Household","Formal And Semi Formal Trouser","159","119","","","","","","","","","","","","","","","","","","","","","",""
"Household","Jeggings","129","129","","","","","","","","","","","","","","","","","","","","","",""
"Household","Track suit","199","199","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bath Towel","59","79","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bed Cover Single","249","229","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bed Cover Double","349","299","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bed Sheet Single","119","129","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bed Sheet Double","199","179","","","","","","","","","","","","","","","","","","","","","",""
"Household","Blanket Single","349","399","","","","","","","","","","","","","","","","","","","","","",""
"Household","Blanket Double","449","499","","","","","","","","","","","","","","","","","","","","","",""
"Household","Cushion Cover Normal ( Large )","119","129","","","","","","","","","","","","","","","","","","","","","",""
"Household","Pillow Cover - Cotton / Terry Cotton","69","69","","","","","","","","","","","","","","","","","","","","","",""
"Household","Pillow Cover - Embroidery","99","99","","","","","","","","","","","","","","","","","","","","","",""
"Household","Quilt ( Single )","449","399","","","","","","","","","","","","","","","","","","","","","",""
"Household","Quilt ( Double )","549","499","","","","","","","","","","","","","","","","","","","","","",""
"Household","Gamosa","54","","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bath Robe ( Medium )","69","79","","","","","","","","","","","","","","","","","","","","","",""
"Household","Stuff Toy Small","119","99","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bath Mat ( Large )","89","79","","","","","","","","","","","","","","","","","","","","","",""
"Household","Oven Gloves ( Set )","129","129","","","","","","","","","","","","","","","","","","","","","",""
"Household","Pillow Cover 2 pcs Set","65","69","","","","","","","","","","","","","","","","","","","","","",""
"Household","Blanket Duvet ( Single )","699","599","","","","","","","","","","","","","","","","","","","","","",""
"Household","Blanket Duvet ( Double )","899","699","","","","","","","","","","","","","","","","","","","","","",""
"Household","Cushion Cover Normal ( Small )","69","69","","","","","","","","","","","","","","","","","","","","","",""
"Household","Cushion Cover Embroidery ( Small / Medium / Large size )","169","129","","","","","","","","","","","","","","","","","","","","","",""
"Household","Sofa cover - Embroidery work ( Single )","479","379","","","","","","","","","","","","","","","","","","","","","",""
"Household","Sofa cover - Normal ( Single )","349","329","","","","","","","","","","","","","","","","","","","","","",""
"Household","Sofa cover - Lace ( Single )","399","349","","","","","","","","","","","","","","","","","","","","","",""
"Household","Curtain - Cotton [Per Panel]","229","349","","","","","","","","","","","","","","","","","","","","","",""
"Household","Curtain - Lace [Per Panel]","289","399","","","","","","","","","","","","","","","","","","","","","",""
"Household","Curtain - Embroidery Work [Per Panel]","269","370","","","","","","","","","","","","","","","","","","","","","",""
"Household","Table Runner Embroidery","229","199","","","","","","","","","","","","","","","","","","","","","",""
"Household","Mosquito Net","299","249","","","","","","","","","","","","","","","","","","","","","",""
"Household","Laptop Bag","399","349","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bagpack Small","299","279","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bagpack Medium","349","329","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bagpack Large","499","429","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bath Mat ( Small )","49","49","","","","","","","","","","","","","","","","","","","","","",""
"Household","Travel pillow with beads","349","329","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bath Robe ( Small )","59","59","","","","","","","","","","","","","","","","","","","","","",""
"Household","Travel pillow without beads","299","279","","","","","","","","","","","","","","","","","","","","","",""
"Household","Bath Robe ( Big )","89","79","","","","","","","","","","","","","","","","","","","","","",""
"Household","Leather Bag ( Small )","449","429","","","","","","","","","","","","","","","","","","","","","",""
"Household","Cushion Cover Normal ( Medium )","89","79","","","","","","","","","","","","","","","","","","","","","",""
"Household","Leather Bag ( Medium )","599","549","","","","","","","","","","","","","","","","","","","","","",""
"Household","Quilt Cover ( Single )","249","229","","","","","","","","","","","","","","","","","","","","","",""
"Household","Leather Bag ( Large )","849","699","","","","","","","","","","","","","","","","","","","","","",""
"Household","Quilt Cover ( Double )","349","329","","","","","","","","","","","","","","","","","","","","","",""
"Household","Stuff Toy Medium","199","179","","","","","","","","","","","","","","","","","","","","","",""
"Household","Stuff Toy Big","299","249","","","","","","","","","","","","","","","","","","","","","",""
"Household","Curtain - Without Lining [ Per Panel ]","239","299","","","","","","","","","","","","","","","","","","","","","",""
"Household","Curtain - With Lining [Per Panel]","349","379","","","","","","","","","","","","","","","","","","","","","",""
"Household","Face Towel","39","29","","","","","","","","","","","","","","","","","","","","","",""
"Kids/children","Hand Towel","49","39","","","","","","","","","","","","","","","","","","","","","",""
"Kids/children","Table Cloth Small","89","79","","","","","","","","","","","","","","","","","","","","","",""
"Kids/children","Table Cloth Big","149","129","","","","","","","","","","","","","","","","","","","","","",""
"Kids/children","Table Runner - Fancy","179","159","","","","","","","","","","","","","","","","","","","","","",""
"Kids/children","Foot Mat ( 1ft * 2ft )","59","49","","","","","","","","","","","","","","","","","","","","","",""
"Kids/children","Pram","399","349","","","","","","","","","","","","","","","","","","","","","",""
"Kids/children","Suit Case Small","249","229","","","","","","","","","","","","","","","","","","","","","",""
"Kids/children","Suit Case Medium","399","379","","","","","","","","","","","","","","","","","","","","","",""
"Kids/children","Suit Case Big","499","499","","","","","","","","","","","","","","","","","","","","","",""
"Kids/children","Razai","479","499","","","","","","","","","","","","","","","","","","","","","",""
"Kids/children","Bag","550","550","","","","","","","","","","","","","","","","","","","","","",""
"Kids/children","Handgloves","99","99","","","","","","","","","","","","","","","","","","","","","",""
"Kids/children","Combo - Shirt and Pant ( 2 pcs set )","79","99","","","","","","","","","","","","","","","","","","","","","",""
"Kids/children","Track suit / Night suit ( 2 pcs set )","169","159","","","","","","","","","","","","","","","","","","","","","",""
"Kids/children","Ethnic Kurta set - 2pcs","199","229","","","","","","","","","","","","","","","","","","","","","",""
"Kids/children","Tights and Leggings","35","35","","","","","","","","","","","","","","","","","","","","","",""
"Kids/children","Dungaree ( Short / Long )","149","159","","","","","","","","","","","","","","","","","","","","","",""
"Women Luxury","Ethnic wear ( Normal / Heavy work )","299","279","","","","","","","","","","","","","","","","","","","","","",""
"Women Luxury","Undergarment","30","29","","","","","","","","","","","","","","","","","","","","","",""
"Women Luxury","Blouse / Top","59","59","","","","","","","","","","","","","","","","","","","","","",""
"Women Luxury","Skirt","49","49","","","","","","","","","","","","","","","","","","","","","",""
"Women Luxury","Frock","119","119","","","","","","","","","","","","","","","","","","","","","",""
"Women Luxury","Kurta + Pants / Salwar / Churidar + Dupatta","299","299","","","","","","","","","","","","","","","","","","","","","",""
"Women Luxury","Jacket","149","149","","","","","","","","","","","","","","","","","","","","","",""
"Women Luxury","Sweater ( Full Sleeves )","129","129","","","","","","","","","","","","","","","","","","","","","",""
"Women Luxury","Sweater ( Sleeveless )","109","109","","","","","","","","","","","","","","","","","","","","","",""
"Women Luxury","Cotton Frock","149","149","","","","","","","","","","","","","","","","","","","","","",""
"Women Luxury","Designer Frock","299","279","","","","","","","","","","","","","","","","","","","","","",""
"Women Luxury","Choli + Lehanga","799","599","","","","","","","","","","","","","","","","","","","","","",""
"Women Luxury","Dress","599","529","","","","","","","","","","","","","","","","","","","","","",""
"Men Luxury","Dupatta","189","179","","","","","","","","","","","","","","","","","","","","","",""
"Men Luxury","Pyjama / Pants / Salwar / Churidar","129","129","","","","","","","","","","","","","","","","","","","","","",""
"Men Luxury","Kurta + Pants / Salwar / Churidar","425","399","","","","","","","","","","","","","","","","","","","","","",""
"Household Luxury","Lehanga / Flared Skirt","699","529","","","","","","","","","","","","","","","","","","","","","",""
"Household Luxury","Saree ( Embroidered / Heavy )","599","549","","","","","","","","","","","","","","","","","","","","","",""
"Household Luxury","Sherwani / Achkan","1199","1099","","","","","","","","","","","","","","","","","","","","","",""
"Household Luxury","Overcoat","539","","","","","","","","","","","","","","","","","","","","","","",""
"Household Luxury","Ladies Suit 2 Pc","399","299","","","","","","","","","","","","","","","","","","","","","",""
"Household Luxury","Ladies Suit 3 Pc","499","399","","","","","","","","","","","","","","","","","","","","","",""
"Household Luxury","Shawl - Toosh","999","","","","","","","","","","","","","","","","","","","","","","",""
"Household Luxury","Jacket - Short ( including leather )","899","","","","","","","","","","","","","","","","","","","","","","",""
"Household Luxury","Bed Cover Double / King","399","349","","","","","","","","","","","","","","","","","","","","","",""
"Household Luxury","Bed Sheet Double / King","229","229","","","","","","","","","","","","","","","","","","","","","",""
"Household Luxury","Cushion Cover Big","139","129","","","","","","","","","","","","","","","","","","","","","",""
"Household Luxury","Quilt Single","499","399","","","","","","","","","","","","","","","","","","","","","",""
"Household Luxury","Quilt Double","599","499","","","","","","","","","","","","","","","","","","","","","",""
"Household Luxury","Quilt Cover ( Single )","279","229","","","","","","","","","","","","","","","","","","","","","",""
"Household Luxury","Quilt Cover ( Double )","399","329","","","","","","","","","","","","","","","","","","","","","",""
"Household Luxury","Curtain - With Lining [ Per Panel ]","399","399","","","","","","","","","","","","","","","","","","","","","",""
