"User Type","Product","Price","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Purse","99","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Dungaree Short","84","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Formal Gown Short Normal","89","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Formal Gown Long Heavy work","179","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Blouse","49","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Choli + Lehanga + Dupatta","349","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Dress ( Cotton )","109","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Kameez / Kurta","59","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Pyjama / Pants / Salwar / Churidar / Palazo Pants","49","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Kurta+paints / salwar / churidar","149","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Kurta+paints / salwar / churidar+dupatta","199","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Lehenga / Flared Skirt","179","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Saree ( Cotton / Synthetic / Light )","99","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Stocking ( Pair ) - Regular","35","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Stole / Scarf","35","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Dress ( Heavy )","225","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Saree ( Silk / Chiffon / Georgette / Heavy )","149","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Parka Coat Long","164","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Jacket Puffer Long","199","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Jacket - Faux fur Long","199","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Skirt Long","77","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Top","38","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Shorts / Capri","29","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Skirt - Pencil / Pleated / Other","59","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Khasi Jainsem Heavy","149","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Khasi Dhara Munga","179","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Garo Dakmanda Heavy","137","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Mekhela Muga and Pator","99","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Chadar Muga and Pator","119","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Manipuri / Mizo / Naga ( Wrap around Skirt ) Heavy","179","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Salwar Kurta Normal Work - 3pcs","119","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Dupatta Heavy Work","74","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Plazzo / Sharara Heavy Work","59","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Saree Plain","89","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Blouse Normal","34","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Blouse Heavy Work","64","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Lehenga Normal Work","179","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Lehenga Medium Work","209","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Lehenga Heavy Work","239","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Peticoat Cotton","39","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Peticoat Woolen","59","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Women Night Robe Satin","79","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Thermals Set","84","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Swim suit solid body suit","89","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Muffler Pashmina","109","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Shawl Woolen","149","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Shawl Pashmina","349","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Shawl Shahtoosh","449","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Gloves Leather","59","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Caps Woolen","64","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Dress / Frock / Jumpsuit Short","79","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Dress / Frock / Jumpsuit Long","94","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Dungaree Long","119","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Formal Gown Short Heavy Work","149","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Formal Gown Long Normal","119","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Coat - Long","114","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Chadar","99","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Mekhela Chaddar 3pcs","199","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Ladies Suit 2pcs","149","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Ladies Suit 3pcs","199","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Muga Mekhela","149","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Muga Chaddar","54","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Muga Mekhela Chaddar 3pcs","199","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Pator Mekhela","149","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Pator Chaddar","54","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Pator Mekhela Chaddar 3pcs","199","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Kesa Pator Mekhela","149","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Kesa Pator Chaddar","59","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Kesa Pator Mekhela Chaddar 3pcs","199","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Choli","149","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Lehenga / Ghagra","199","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Designer Lehanga / ghagra","199","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Choli+lehanga+duppatta( n )","449","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Designer Choli + Lehanga + Duppatta","749","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Ghagra 3pc( n )","349","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Ghagra Heavy 3pcs( d )","449","","","","","","","","","","","","","","","","","","","","","","",""
"Women","Kameez / Kurti Cotton","69","","","","","","","","","","","","","","","","","","","","","","",""
